Year,State,Prod
1991,Alabama,170846
1992,Alabama,355101
1993,Alabama,388023
1994,Alabama,515273
1995,Alabama,519660
1996,Alabama,530839
1997,Alabama,388595
1998,Alabama,392395
1999,Alabama,381700
2000,Alabama,363466
2001,Alabama,356808
2002,Alabama,356061
2003,Alabama,346146
2004,Alabama,316021
2005,Alabama,296529
2006,Alabama,286220
2007,Alabama,270407
2008,Alabama,257784
2009,Alabama,236030
2010,Alabama,222932
2011,Alabama,195580
2012,Alabama,215708
2013,Alabama,196325
1991,Alaska,437822
1992,Alaska,443596
1993,Alaska,430349
1994,Alaska,555401
1995,Alaska,469548
1996,Alaska,480828
1997,Alaska,468312
1998,Alaska,466647
1999,Alaska,462965
2000,Alaska,458995
2001,Alaska,471442
2002,Alaska,463302
2003,Alaska,489756
2004,Alaska,471898
2005,Alaska,487281
2006,Alaska,444723
2007,Alaska,433485
2008,Alaska,394882
2009,Alaska,397078
2010,Alaska,374228
2011,Alaska,356225
2012,Alaska,351261
2013,Alaska,338182
1991,Arizona,1226
1992,Arizona,771
1993,Arizona,598
1994,Arizona,751
1995,Arizona,557
1996,Arizona,463
1997,Arizona,453
1998,Arizona,460
1999,Arizona,473
2000,Arizona,368
2001,Arizona,307
2002,Arizona,301
2003,Arizona,444
2004,Arizona,329
2005,Arizona,233
2006,Arizona,611
2007,Arizona,654
2008,Arizona,524
2009,Arizona,712
2010,Arizona,182
2011,Arizona,169
2012,Arizona,115
2013,Arizona,71
1991,Arkansas,163484
1992,Arkansas,196908
1993,Arkansas,190316
1994,Arkansas,183390
1995,Arkansas,182158
1996,Arkansas,216698
1997,Arkansas,202164
1998,Arkansas,180393
1999,Arkansas,168183
2000,Arkansas,170173
2001,Arkansas,165956
2002,Arkansas,161336
2003,Arkansas,168983
2004,Arkansas,185705
2005,Arkansas,189244
2006,Arkansas,270293
2007,Arkansas,269887
2008,Arkansas,446455
2009,Arkansas,679953
2010,Arkansas,926638
2011,Arkansas,1072212
2012,Arkansas,1146170
2013,Arkansas,1139654
1991,California,378383
1992,California,365631
1993,California,315852
1994,California,309427
1995,California,379555
1996,California,286495
1997,California,285689
1998,California,315275
1999,California,382715
2000,California,376581
2001,California,377825
2002,California,360206
2003,California,337218
2004,California,319918
2005,California,317637
2006,California,315209
2007,California,307160
2008,California,296468
2009,California,276576
2010,California,286841
2011,California,250179
2012,California,246823
2013,California,252310
1991,Colorado,285961
1992,Colorado,323041
1993,Colorado,400985
1994,Colorado,453209
1995,Colorado,523082
1996,Colorado,572072
1997,Colorado,637373
1998,Colorado,696320
1999,Colorado,722738
2000,Colorado,752983
2001,Colorado,817206
2002,Colorado,937244
2003,Colorado,1011285
2004,Colorado,1079235
2005,Colorado,1133085
2006,Colorado,1202820
2007,Colorado,1242571
